name,type,value,description,group,Group Description
EQ_INSIDE_10.11.17.47,host,10.11.17.47,Inside CA11AP34P,EQ_INSIDE_ExchangeOnline-Group,EQ Inside Exchange online prism group
EQ_INSIDE_10.11.18.110,host,10.11.18.110,Inside CA11AP34D ,EQ_INSIDE_ExchangeOnline-Group,EQ Inside Exchange online prism group
EQ_INSIDE_10.11.18.153,host,10.11.18.153,Inside CA11AP34Q,EQ_INSIDE_ExchangeOnline-Group,EQ Inside Exchange online prism group
OUTSIDE_outlook.office365.com,fqdn,outlook.office365.com,RFC 11260 exchange online IMAP 1,OUTSIDE_office365-Group,RFC 11260 exchange online IMAP
OUTSIDE_smtp.office365.com,fqdn,smtp.office365.com,RFC 11260 exchange online IMAP 2,OUTSIDE_office365-Group,RFC 11260 exchange online IMAP
Outside_SFB_TEAMS_1,network,13.107.64.0/18,Microsoft Teams and Skype For Business Online,Outside_MSFT_TEAMS_SFBO-Group,Microsoft Teams and Skype for Business Online
EQ_INSIDE_pcsk6999.cameco.com,fqdn,pcsk6999.cameco.com,Inside workstation for google cloud SSH access,EQ_INSIDE_JBS-Group,EQ Inside JBS Group
EQ_INSIDE_pcsk8368.cameco.com,fqdn,pcsk8368.cameco.com,Inside workstation for google cloud SSH access,EQ_INSIDE_JBS-Group,EQ Inside JBS Group
EQ_INSIDE_SPRSK7116.cameco.com,fqdn,SPRSK7116.cameco.com,Inside workstation for google cloud SSH access,EQ_INSIDE_JBS-Group,EQ Inside JBS Group
EQ_INSIDE_SPRSK7127.cameco.com,fqdn,SPRSK7127.cameco.com,Inside workstation for google cloud SSH access,EQ_INSIDE_JBS-Group,EQ Inside JBS Group
OUTSIDE_SFB_TEAMS_2,network,52.112.0.0/14,Rule for Microsoft Teams and Skype for Business Online,Outside_MSFT_TEAMS_SFBO-Group,Microsoft Teams and Skype for Business Online
OUTSIDE_SFB_TEAMS_3,network,52.120.0.0/14,Skype for Business Online and Microsoft Teams UDP IPS,Outside_MSFT_TEAMS_SFBO-Group,Microsoft Teams and Skype for Business Online
OUTSIDE_35.203.91.134,host,35.203.91.134,Outside  JBS Server in Google Cloud ,,
EQ_INSIDE_CA11AP29P_10.11.17.138,host,10.11.17.138,uag-int.cameco.com unified access gateway (backend) internal,,
EQ_INSIDE_CA11AP57P_10.11.17.77,host,10.11.17.77,CTASK0012344: New UAG Server,,
